,Search date,2022-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Currency,NOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Scale,MNOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keywords,Electronics | System | Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SIC/NACE industry codes,Manufacture of loaded electronic boards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net sales 2021,0.1 - MAX MNOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Name,Region,EBITDA,EBITDA 2022,EBITDA 2021,EBIT,SIC/NACE industry,Keywords,Company type,Listing,Status,Registration no.,Fiscal year end,Net sales growth,EBIT margin,Net profit margin,Total assets,Shareholders equity,Equity ratio,Employees,Legal form,Phone,Owners,CEO,Is Private Equity owned,Has foreign ultimate parent,Ultimate parent,Parent company,SIC/NACE industry codes,Address,City,Postal code,Email,Website,Net sales 2021,Net sales 2020,Net sales 2019
1,GPV INTERNATIONAL A/S,DK,n/a,n/a,n/a,313.6,Manufacture of loaded electronic boards,"Electronics, Oem, Roads, Components, Construction, Manufacture, Suppliers, Production, Development, Estate, Factories, Plants",Unconsolidating subsidiary,Private,Active,66945715,2021-12,5.20%,7.17%,6.09%,4223.6,1601.4,37.91%,264,Limited company,72191919,GPV Group A/S (100%;43337483),n/a,No,No,AKTIESELSKABET SCHOUW & CO.,GPV Group A/S,2612,Lysholt Allé 11,Vejle,7100,n/a,gpv-group.com,4371.2,4155.3,713.6
2,NORAUTRON AS,NO,206.4,n/a,206.4,174.7,Manufacture of loaded electronic boards,"Electronics, Manufacturer, System, Costs, Development, Prototyping, Cable, Systems integration, Product, Roots, Electro-mechanical, Facilities",Sub group,Private,Active,951555282,2021-12,49.37%,9.32%,6.36%,1308.2,505.3,38.62%,332,Limited company,33030400,EMBRON GROUP AS (100%;986361758),ØYVIND SEDIVY,No,No,BROCH JC HOLDING AS,EMBRON GROUP AS,2612,Bygg 25 Nedre vei 8,HORTEN,3183,norautron@norautron.no,www.norautron.com,1874.7,1255.0,1054.3
3,Stoneridge Electronics AB,SE,-217.7,n/a,-217.7,-238.2,"Manufacture of instruments and appliances for measuring, testing and navigation + Manufacture of loaded electronic boards + Electric engineering activities and related technical consultancy + Manufacture of electricity distribution and control apparatus + Technical testing and analysis","Manufacture, Components, Electronic, Development, Marketing, Vehicle, Electronic components, Electricity, Technical, Insight, Automate, Spam",Unconsolidating subsidiary,Private,Active,5564429388,2021-12,-0.35%,-20.59%,-20.93%,1025.7,417.2,40.67%,332,Limited company,010-4822800,n/a,"Österberg, Lars Peter",No,Yes,Stoneridge Inc,Stoneridge BV,26510;26120;71123;27120;71200,BOX 3133,SOLNA,16903,n/a,www.stoneridge.com,1157.2,1161.2,1286.8
4,KITRON AS,NO,89.7,n/a,89.7,78.3,Manufacture of loaded electronic boards,"Electronics, Development, Manufacture, Production, Product, Market, Consultancy, Electronic, Delivering, Costs, Assembling, Technical",Unconsolidating subsidiary,Private,Active,979340354,2021-12,7.99%,7.40%,5.20%,962.8,189.7,19.71%,355,Limited company,37071300,KITRON ASA (100%;976605713),HANS PETTER THOMASSEN,No,No,KITRON ASA,KITRON ASA,2612,Tverrdalsøyveien 100,STAUBØ,4920,companymail@kitron.com,www.kitron.com,1058.3,980.1,851.0
